Category,GRN no,Customer/Vendor Code,VendorName,Address,LC No,Posting Date,Item No.,Item Description,Inventory UoM,Quantity,Price,Price USD,Total Amount
Zipper,5551,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135622230014,4/18/2022,41030,#3 METAL ZIPPER TAPE IMPORT,Kg,"2,412.50",2.6,2.6,"6,272.50"
Zipper,5551,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135622230014,4/18/2022,41475,PZ#5 VIZLON TAPE IMPORT,KG,436.4,2.6,2.6,"1,134.64"
Sewing Thread,7223,V000000192,S.R THREAD & ACCESSORIES,,,8/2/2022,52613,SEWING THREAD 150/D FILAMENT,KG,528,195.1071,2.3,"1,211.96"
Zipper,9695,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",209722020291,11/15/2022,41572,CZ#3 A/L REVERSE T/P WITH CAP FF.,PCS,"500,000.00",0.014,0.01,"7,000.00"
Zipper,9695,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",209722020291,11/15/2022,41596,CZ#5 A/L  SLIDER T/P REVERSE (F.F),PCS,"250,000.00",0.0195,0.02,"4,875.00"
Zipper,1336,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135621020046,6/19/2021,41581,"CZ#3 A/L,N/P INVISIBLE SLIDER ( M.F)",PCS,"100,000.00",0.01385,0.01,"1,385.00"
Zipper,1383,V000000021,"WENZHOU MUSE INTERNATIONAL TRADE  CO.,LTD","RM.1208, BUILDING NO 15, YUEHU TOWER, JIANGBIN WEST RD. WENZHOU, ZHEJIANG, CHINA",135621020046,6/24/2021,41597,CZ#3 INVISIBLE LONG ZIPPER,kg,"1,000.00",3,3,"3,000.00"
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40251,PRONG SNAP BUTTON 9.5 mm(BRASS QUALITY),Gross,"6,973.00",2.2,2.2,"15,340.60"
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40735,S.S SPRINNG TYPE STUD 12.5MM (CHINA QUALITY),Gross,"18,432.00",0.453333,0.45,"8,355.83"
Button,5700,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622020067,4/27/2022,40255,ALLUMINIUM TACKS 7.5 MM,Gross,"65,000.00",0.162,0.16,"10,530.00"
Button,6979,V000000162,"ALIBABA ONETOUCH BUSINESS SERVICE CO., LTD.",,135622230009,7/18/2022,40254,NORMAL SHANK BUTTON SCREW,Gross,888,0.177,0.18,157.18
